#{"t_start": 1617611168.7877684, "env_id": null}
r,l,t
-0.928571,4,162.489898
-0.833333,8,162.755481
-0.785714,10,163.087467
-0.833333,8,163.363874
-0.857143,7,163.575976
1.190476,9,163.86313
-0.833333,8,164.11312
1.190476,9,164.345867
-0.833333,8,164.59844
-0.785714,10,164.931113
-0.833333,8,165.182164
1.166667,8,165.450096
-0.904762,5,165.588478
-0.928571,4,165.752736
-0.785714,10,166.050741
-0.785714,10,166.371071
1.166667,8,166.59963
1.071429,4,166.696858
-0.785714,10,167.008809
-0.785714,10,167.328253
-0.785714,10,167.643832
1.119048,6,167.786718
-0.857143,7,168.018342
-0.761905,11,168.367724
1.166667,8,168.573345
-0.833333,8,168.835916
-0.880952,6,169.007306
-0.833333,8,169.288303
-0.833333,8,169.525463
-0.857143,7,169.766182
-0.809524,9,170.052855
-0.761905,11,170.366318
-0.928571,4,170.508913
-0.761905,11,170.835341
-0.857143,7,171.047208
-0.785714,10,171.374128
1.261905,12,171.750749
1.095238,5,171.880645
-0.904762,5,172.031949
-0.809524,9,172.309041
-0.785714,10,172.615643
1.190476,9,172.872096
1.166667,8,173.06713
-0.761905,11,173.403247
-0.833333,8,173.653844
1.142857,7,173.818273
-0.809524,9,174.087358
1.142857,7,174.281513
-0.833333,8,174.491336
1.166667,8,174.718036
1.142857,7,174.885658
-0.809524,9,175.164042
-0.785714,10,175.454064
-0.809524,9,175.724725
-0.880952,6,175.89403
-0.761905,11,176.255138
1.166667,8,176.502282
1.142857,7,176.685359
-0.833333,8,176.949735
-0.833333,8,177.192713
-0.738095,12,177.591074
-0.904762,5,177.771431
-0.809524,9,178.051601
1.261905,12,178.387964
-0.857143,7,178.580958
1.095238,5,178.697831
-0.857143,7,178.924666
-0.904762,5,179.06398
-0.785714,10,179.376112
1.214286,10,179.678335
-0.785714,10,179.99894
-0.857143,7,180.199246
-0.880952,6,180.387967
-0.833333,8,180.611258
1.071429,4,180.700109
-0.761905,11,181.028061
-0.785714,10,181.318913
-0.809524,9,181.58353
1.261905,12,181.888563
-0.857143,7,182.062088
-0.809524,9,182.345175
-0.857143,7,182.556921
-9.666667,15,183.007496
-0.809524,9,183.273546
-0.880952,6,183.447354
-0.928571,4,183.592571
-0.809524,9,183.84
-0.833333,8,184.091758
-0.904762,5,184.234804
1.238095,11,184.561924
-0.809524,9,184.853421
-0.857143,7,185.056496
-0.857143,7,185.288563
1.142857,7,185.474781
-0.785714,10,185.807437
-0.857143,7,186.050348
1.142857,7,186.231067
1.142857,7,186.451163
-0.809524,9,186.710001
-0.785714,10,187.023133
-0.761905,11,187.369277
-0.761905,11,187.727881
-0.761905,11,188.06771
-0.785714,10,188.341281
-0.809524,9,188.626555
-0.833333,8,188.876482
1.214286,10,189.131823
-0.809524,9,189.411785
-0.785714,10,191.817981
-0.904762,5,191.966983
1.095238,5,192.123915
-0.904762,5,192.271488
-0.857143,7,192.479351
-0.833333,8,192.743593
-0.809524,9,193.030481
-0.857143,7,193.215034
1.238095,11,193.539968
1.119048,6,193.691115
-0.904762,5,193.861921
-0.880952,6,194.026482
1.214286,10,194.317395
1.119048,6,194.474242
-0.785714,10,194.795392
-0.785714,10,195.122452
1.095238,5,195.227107
1.119048,6,195.393231
-0.880952,6,195.564972
-0.880952,6,195.736299
-0.761905,11,196.077574
1.238095,11,196.394311
-0.785714,10,196.70967
-0.928571,4,196.824723
1.190476,9,197.084267
-0.809524,9,197.32924
-0.857143,7,197.562629
1.119048,6,197.705076
-0.690476,14,198.12689
1.238095,11,198.450571
-0.833333,8,198.710953
1.190476,9,198.945757
-0.904762,5,199.121495
-0.833333,8,199.357782
1.142857,7,199.572521
1.095238,5,199.694952
-0.809524,9,199.972094
-0.785714,10,200.277563
1.261905,12,200.584259
-0.785714,10,200.8925
-0.880952,6,201.091716
1.166667,8,201.285958
-0.785714,10,201.593797
-0.785714,10,201.899463
1.214286,10,202.148099
1.190476,9,202.390632
1.142857,7,202.55127
1.166667,8,202.765052
1.190476,9,203.010113
1.142857,7,203.191358
1.095238,5,203.314941
1.095238,5,203.475845
-0.833333,8,203.71384
-0.833333,8,203.990686
-0.904762,5,204.131102
-0.761905,11,204.449877
1.190476,9,204.718098
1.142857,7,204.898028
-0.857143,7,205.135493
1.071429,4,205.230078
-0.833333,8,205.503878
-0.809524,9,205.807207
1.333333,15,206.273365
1.142857,7,206.495579
-0.833333,8,206.785315
-0.833333,8,207.024664
-0.928571,4,207.143022
1.119048,6,207.325597
-0.880952,6,207.50562
