#{"t_start": 1617615569.6735675, "env_id": null}
r,l,t
-0.857143,7,151.929171
1.190476,9,152.18805
-0.880952,6,152.37959
-0.857143,7,152.66389
-0.809524,9,152.954058
1.119048,6,153.118345
1.119048,6,153.284757
-0.880952,6,153.533351
1.166667,8,153.755027
-0.833333,8,154.001139
1.119048,6,154.171157
-0.857143,7,154.447503
-0.833333,8,154.676943
1.166667,8,154.893304
-0.904762,5,155.118424
-0.880952,6,155.319874
-0.857143,7,155.539849
-0.880952,6,155.731883
1.142857,7,155.995902
-0.880952,6,156.180314
1.119048,6,156.338874
-0.833333,8,156.629136
-0.880952,6,156.822318
-0.833333,8,157.144745
1.214286,10,157.415448
1.190476,9,157.678076
-0.857143,7,157.968481
-0.904762,5,158.129991
-0.785714,10,158.436727
1.142857,7,158.632242
-0.809524,9,158.974521
-9.833333,8,159.197685
-0.785714,10,159.507727
1.166667,8,159.785489
-0.857143,7,159.995497
1.071429,4,160.094506
-0.785714,10,160.473175
1.095238,5,160.608177
-0.880952,6,160.802833
-0.809524,9,161.084209
-0.833333,8,161.401271
-0.809524,9,161.714667
1.142857,7,161.910701
-0.833333,8,162.168924
-0.880952,6,162.427482
1.238095,11,162.751281
-0.785714,10,163.075769
-0.880952,6,163.330668
-0.857143,7,163.55546
-0.880952,6,163.745735
-0.904762,5,163.916604
-0.833333,8,164.234822
-9.809524,9,164.486722
1.214286,10,164.777684
-0.809524,9,165.155348
1.071429,4,165.256593
-0.833333,8,165.5069
1.142857,7,165.69106
-0.833333,8,166.004859
1.119048,6,166.154727
1.142857,7,166.342519
1.166667,8,166.572955
-0.880952,6,166.863664
1.166667,8,167.09255
-0.857143,7,167.310788
-0.857143,7,167.533398
-0.880952,6,167.789028
-0.880952,6,167.991266
1.142857,7,168.18209
-0.833333,8,168.431283
-0.857143,7,168.723322
-0.880952,6,168.911721
1.142857,7,169.102538
-0.833333,8,169.347175
-0.833333,8,169.647293
-0.880952,6,169.819381
-0.880952,6,170.004485
1.095238,5,170.135108
1.238095,11,170.51538
-0.833333,8,170.77124
1.190476,9,171.026587
-0.833333,8,171.338032
-0.857143,7,171.557448
1.095238,5,171.686811
-0.833333,8,171.941917
-0.880952,6,172.199287
-0.833333,8,172.448027
